customer_id,email,phone,age,price,start_date,end_date,birth_date
CUST_1076,user_76@example.com,9876543276,59,324.49,2026-03-18,2026-03-25,1976-03-30
CUST_1077,user_77@example.com,9876543277,40,346.74,2026-03-19,2026-03-26,1976-04-29
CUST_1078,user_78@example.com,9876543278,35,274.85,2026-03-20,2026-03-27,1976-05-29
CUST_1079,user_79@example.com,9876543279,64,234.94,2026-03-21,2026-03-28,1976-06-28
CUST_1080,user_80@example.com,9876543280,37,285.39,2026-03-22,2026-03-29,1976-07-28
CUST_1081,user_81@example.com,9876543281,43,304.49,2026-03-23,2026-03-30,1976-08-27
CUST_1082,user_82@example.com,9876543282,45,58.81,2026-03-24,2026-03-31,1976-09-26
CUST_1083,user_83@example.com,9876543283,44,197.43,2026-03-25,2026-04-01,1976-10-26
CUST_1084,user_84@example.com,9876543284,64,136.24,2026-03-26,2026-04-02,1976-11-25
CUST_1085,user_85@example.com,9876543285,60,405.51,2026-03-27,2026-04-03,1976-12-25
CUST_1086,user_86@example.com,9876543286,48,245.74,2026-03-28,2026-04-04,1977-01-24
CUST_1087,user_87@example.com,9876543287,34,492.04,2026-03-29,2026-04-05,1977-02-23
CUST_1088,user_88@example.com,9876543288,64,211.44,2026-03-30,2026-04-06,1977-03-25
CUST_1089,user_89@example.com,9876543289,20,411.89,2026-03-31,2026-04-07,1977-04-24
CUST_1090,user_90@example.com,9876543290,44,403.21,2026-04-01,2026-04-08,1977-05-24
CUST_1091,user_91@example.com,9876543291,26,92.34,2026-04-02,2026-04-09,1977-06-23
CUST_1092,user_92@example.com,9876543292,28,263.94,2026-04-03,2026-04-10,1977-07-23
CUST_1093,user_93@example.com,9876543293,43,353.99,2026-04-04,2026-04-11,1977-08-22
CUST_1094,user_94@example.com,9876543294,20,432.01,2026-04-05,2026-04-12,1977-09-21
CUST_1095,user_95@example.com,9876543295,63,176.46,2026-04-06,2026-04-13,1977-10-21
CUST_1096,user_96@example.com,9876543296,27,125.72,2026-04-07,2026-04-14,1977-11-20
CUST_1097,user_97@example.com,9876543297,43,361.35,2026-04-08,2026-04-15,1977-12-20
CUST_1098,user_98@example.com,9876543298,30,408.56,2026-04-09,2026-04-16,1978-01-19
CUST_1099,user_99@example.com,9876543299,36,187.36,2026-04-10,2026-04-17,1978-02-18
