deal_id,customer_id,salesperson_id,deal_value,current_stage,status,created_date,closed_date,date_logic_error,deal_duration_days,customer_company,customer_contact,customer_email,customer_phone,customer_email_status,salesperson_name,salesperson_email,salesperson_role,salesperson_email_status,activity_count,last_activity_date,act_call,act_email,act_follow_up,act_meeting,act_note,act_unknown,email_count,last_email_date,positive_emails,negative_emails,engagement_score
D0011,C0093,U006,11015.24,Negotiation,won,,2026-04-14,False,,Peck-Griffith,Christopher Ferrell,christopher.ferrellgmail.com,774.270.1687x339,malformed,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,0,,,,,,,,1,2025-12-19,1,0,1
D0012,C0198,U010,72100.74,Prospecting,lost,,2026-06-04,False,,"Hart, Pena And Bryant",Roger Velasquez,roger.velasquez@yahoo.com,789-397-5711x30554,valid,Ryan Munoz,ryan.munoz@yahoo.com,rep,valid,2,2026-04-12,2.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,4
D0013,C0043,U011,21420.82,Qualified,lost,2026-03-02,,False,,"Thomas, Lee And Greene",Breanna Jones,breanna.jones@yahoo.com,,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,4,,1.0,0.0,2.0,1.0,0.0,0.0,2,,0,2,10
D0014,C0301,U003,42136.96,Closed Won,lost,2026-03-10,,False,,Nichols-Smith,Taylor Berry,taylor.berry@yahoo.com,(254)642-0949x40792,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,3,2026-05-02,0.0,1.0,2.0,0.0,0.0,0.0,3,,3,0,9
D0015,C0145,U003,53220.73,Qualified,lost,2026-04-06,,False,,"Shaffer, Garcia And Richardson",James Li,james.li@gmail.com,+1-921-589-0927x5326,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,3,2026-02-27,2.0,1.0,0.0,0.0,0.0,0.0,0,,0,0,6
D0016,C0283,U009,42559.11,Closed Lost,lost,2026-03-23,,False,,Williams-Bailey,Christy Davidson,christy.davidson@hotmail.com,241-444-8850x1556,valid,Gabrielle Davis,gabrielle.davis@yahoo.com,rep,valid,1,,0.0,1.0,0.0,0.0,0.0,0.0,2,2025-12-16,0,1,4
D0017,C0402,U013,24450.22,Proposal Sent,won,,,False,,Farley-Gregory,Tyrone White,tyrone.white@hotmail.com,8463152654,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,4,2026-06-15,1.0,2.0,1.0,0.0,0.0,0.0,1,2026-06-07,0,1,9
D0018,C0277,U009,23868.72,Prospecting,open,,,False,,Tate Llc,Mary Hernandez,mary.hernandez@gmail.com,(406)544-7421,valid,Gabrielle Davis,gabrielle.davis@yahoo.com,rep,valid,4,2026-06-03,0.0,0.0,0.0,1.0,1.0,2.0,1,2025-11-28,1,0,9
D0019,C0021,U013,84146.27,Closed Lost,closed,2026-06-13,,False,,Ramos-Lewis,Steven Flynn,steven.flynn@gmail.com,+1-514-989-5134x33200,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,1,2026-01-08,0.0,0.0,0.0,1.0,0.0,0.0,3,2026-03-15,1,0,5
D0020,C0226,U005,73751.75,Closed Won,open,2026-05-31,2026-07-29,False,59.0,"Manning, Smith And Mills",Jaime Harris,jaime.harris@yahoo.com,,valid,Cristian Santos,cristian.santos@gmail.com,unknown,valid,5,2026-07-17,2.0,2.0,1.0,0.0,0.0,0.0,1,2025-12-28,0,1,11
D0021,C0348,U006,52948.63,Closed Won,open,2025-11-27,,False,,Cox And Sons,Kurt Ewing,kurt.ewing@gmail.com,967.849.9465,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,1,2026-04-16,1.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2
D0022,C0268,U005,28525.08,,open,,,False,,Garrett-Young,Kathryn Cain,kathryn.cain@hotmail.com,560-884-3256x216,valid,Cristian Santos,cristian.santos@gmail.com,unknown,valid,1,2026-04-20,0.0,0.0,1.0,0.0,0.0,0.0,1,,1,0,3
D0023,C0259,U011,81891.46,Prospecting,open,,,False,,Foley Inc,Terri Short,terri.short@hotmail.com,589.592.1075x22459,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,4,2026-01-06,0.0,1.0,2.0,0.0,0.0,1.0,0,,0,0,8
D0024,C0063,U012,60901.47,Qualified,won,,2026-06-07,False,,Peterson-Wood,Paula Bradley,paula.bradleygmail.com,802-929-0147,malformed,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,1,,0.0,0.0,1.0,0.0,0.0,0.0,1,2026-08-05,0,1,3
D0025,C0319,U005,7805.61,Closed Won,lost,2026-05-01,2026-06-03,False,33.0,Moore Inc,Jackson Clark,jackson.clark@yahoo.com,597-901-0822x07811,valid,Cristian Santos,cristian.santos@gmail.com,unknown,valid,2,2026-07-07,0.0,0.0,1.0,0.0,0.0,1.0,1,,1,0,5
D0026,C0351,U006,50093.29,Closed Lost,,2025-12-21,,False,,Ramos-Johnson,,matthew.chan@hotmail.com,(976)924-6719,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,2,2026-07-31,0.0,0.0,1.0,0.0,1.0,0.0,0,,0,0,4
D0027,C0321,U011,34709.27,Closed Won,open,2026-01-05,2026-11-07,False,306.0,Thomas-Reilly,,james.taylor@hotmail.com,654.435.2090,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,1,2026-07-03,0.0,1.0,0.0,0.0,0.0,0.0,2,2026-05-08,0,1,4
D0028,C0170,U009,67323.36,Qualified,,2026-04-19,,False,,"Spencer, Frost And Fernandez",Elizabeth Davis,elizabeth.davis@yahoo.com,001-687-920-5061,valid,Gabrielle Davis,gabrielle.davis@yahoo.com,rep,valid,3,2026-08-06,2.0,0.0,0.0,0.0,1.0,0.0,2,2026-11-05,1,1,8
D0029,C0397,U014,79108.0,Closed Lost,open,2025-02-11,,False,,Turner-Tucker,Brenda Lawrence,brenda.lawrence@gmail.com,643-927-0185x1067,valid,Michele Williams,michele.williams@gmail.com,rep,valid,1,,0.0,0.0,1.0,0.0,0.0,0.0,1,,1,0,3
D0030,C0444,U011,74514.35,Negotiation,open,,,False,,Bennett Ltd,Thomas George,thomas.george@yahoo.com,001-552-545-0864x0355,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,2,2025-10-11,0.0,0.0,1.0,1.0,0.0,0.0,1,2025-12-27,0,1,5
D0031,C0188,U011,34594.52,Qualified,open,2026-02-28,,False,,Colon Llc,Joy Meyer,joy.meyer@hotmail.com,262-457-5326x03323,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,3,,1.0,0.0,1.0,1.0,0.0,0.0,2,,0,2,8
D0032,C0046,U012,19320.67,Prospecting,open,,,False,,"Higgins, Malone And Brennan",Barry Welch,barry.welch@yahoo.com,216.711.7240,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,3,2026-04-28,2.0,0.0,0.0,1.0,0.0,0.0,2,,0,1,8
D0033,C0005,U001,84010.93,Negotiation,open,2026-05-07,,False,,Farmer-Ryan,Kerry Smith,kerry.smith@yahoo.com,401.454.3039x1171,valid,Allison Hill,allison.hillgmail.com,manager,malformed,0,,,,,,,,1,,0,1,1
D0034,C0045,U012,27664.85,Prospecting,open,2026-02-10,,False,,Garcia-Lozano,Charles Pitts,charles.pitts@gmail.com,874-759-6158,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,1,2025-11-08,1.0,0.0,0.0,0.0,0.0,0.0,2,2026-07-09,0,0,4
D0035,C0342,U003,48534.82,Prospecting,closed,,,False,,Vazquez-Taylor,William Mills,william.mills@yahoo.com,(440)513-2234,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,0,,,,,,,,0,,0,0,0
D0036,C0317,U012,58828.28,Qualified,lost,2026-01-09,,False,,Howe Ltd,Stacie Butler,stacie.butler@yahoo.com,001-423-924-8763x290,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,6,2026-07-03,1.0,0.0,2.0,1.0,1.0,1.0,0,,0,0,12
D0037,C0297,U012,27761.06,Closed Won,lost,2026-02-13,2026-04-11,False,57.0,Callahan Inc,Michael Long,,866-466-8327x23865,missing,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,2026-07-05,0.0,1.0,0.0,0.0,0.0,1.0,1,2026-10-07,1,0,5
D0038,C0303,U012,72298.99,Negotiation,open,,,False,,"Young, White And Rose",William Coffey,william.coffey@hotmail.com,,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,,1.0,0.0,0.0,1.0,0.0,0.0,0,,0,0,4
D0039,C0094,U012,6056.52,Closed Won,won,,,False,,Campbell Plc,Martha Ruiz,martha.ruiz@hotmail.com,8162245650,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,,1.0,0.0,1.0,0.0,0.0,0.0,2,2026-04-12,2,0,6
D0040,C0251,U011,75708.5,Prospecting,closed,,,False,,Newman-Miles,Beth Hall,beth.hall@hotmail.com,+1-657-930-6524x0778,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,4,2026-01-03,0.0,2.0,0.0,0.0,2.0,0.0,1,2026-03-19,0,1,9
D0041,C0434,U014,58525.66,Closed Won,lost,2026-02-26,,False,,Johnston-Mclaughlin,Stanley Bryant,stanley.bryant@hotmail.com,001-446-392-6329x676,valid,Michele Williams,michele.williams@gmail.com,rep,valid,3,2025-11-20,1.0,1.0,0.0,0.0,0.0,1.0,0,,0,0,6
D0042,C0034,U001,78535.37,Proposal Sent,won,,2026-03-10,False,,Phillips Llc,Adrian Ferguson,adrian.ferguson@yahoo.com,,valid,Allison Hill,allison.hillgmail.com,manager,malformed,3,,0.0,2.0,1.0,0.0,0.0,0.0,0,,0,0,6
D0043,C0388,U007,54984.86,Closed Won,lost,2025-11-27,2025-12-10,False,13.0,"Garcia, Soto And Pitts",Brooke Carter,brooke.carter@yahoo.com,001-987-712-5521x37603,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,2,2025-11-07,1.0,0.0,0.0,0.0,1.0,0.0,1,2026-10-03,1,0,5
D0044,C0102,U013,28783.65,Qualified,closed,2026-03-18,,False,,Delgado-Gilmore,Matthew Avila,matthew.avila@yahoo.com,440-619-3802x62067,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,3,,0.0,1.0,0.0,0.0,2.0,0.0,2,2026-07-06,1,1,8
D0045,C0220,U012,21914.06,Proposal Sent,open,,,False,,"Smith, Macias And Gonzales",Jose Campbell,jose.campbell@gmail.com,(925)991-3651,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,,0.0,0.0,1.0,0.0,0.0,1.0,0,,0,0,4
D0046,C0156,U011,2557.53,Qualified,open,,,False,,Vargas Inc,Victor Young,victor.young@yahoo.com,465-957-4313x29121,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,0,,,,,,,,0,,0,0,0
D0047,C0175,U009,32551.1,Closed Lost,won,2026-05-02,,False,,"Dean, Mills And Barnes",Charles Matthews,charles.matthews@gmail.com,991-948-5646,valid,Gabrielle Davis,gabrielle.davis@yahoo.com,rep,valid,2,2026-12-01,0.0,1.0,0.0,1.0,0.0,0.0,1,2025-12-26,1,0,5
D0048,C0169,U013,6833.31,Closed Won,won,2026-05-16,2026-07-25,False,70.0,Peterson Group,Benjamin Mcmahon,benjamin.mcmahon@gmail.com,599-870-6296x20153,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,1,2026-05-26,0.0,0.0,0.0,1.0,0.0,0.0,0,,0,0,2
D0049,C0182,U001,14635.38,Closed Lost,open,2025-12-17,2026-02-05,False,50.0,Rogers Llc,Shannon Green,shannon.green@hotmail.com,+1-643-628-3096x5207,valid,Allison Hill,allison.hillgmail.com,manager,malformed,2,,1.0,1.0,0.0,0.0,0.0,0.0,0,,0,0,4
D0050,C0002,U001,40892.34,Prospecting,won,2026-06-27,,False,,Underwood Llc,Austin Gentry,austin.gentry@hotmail.com,001-653-876-7242x388,valid,Allison Hill,allison.hillgmail.com,manager,malformed,0,,,,,,,,0,,0,0,0
D0051,C0112,U006,24150.04,Proposal Sent,lost,,,False,,Gordon Llc,Thomas Johnston,thomas.johnston@hotmail.com,+1-453-842-8364x408,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,3,2026-06-03,1.0,0.0,0.0,2.0,0.0,0.0,1,,0,1,7
D0052,C0089,U004,81165.63,Closed Lost,open,,,False,,Martin Ltd,Travis Stone,travis.stone@yahoo.com,343-484-2498,valid,Daniel Wagner,daniel.wagner@yahoo.com,admin,valid,3,2025-12-26,0.0,1.0,0.0,1.0,0.0,1.0,1,,1,0,7
D0053,C0157,U006,39638.31,Prospecting,closed,,,False,,Edwards-Martinez,Randy Hayes,randy.hayes@yahoo.com,711-824-9035x213,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,2,,0.0,0.0,2.0,0.0,0.0,0.0,0,,0,0,4
D0054,C0122,U008,62660.69,Closed Won,,2025-11-27,,False,,"Elliott, Johnson And Mcfarland",Tyrone Matthews,tyrone.matthews@COMPANY.COM,001-761-242-9396x85621,placeholder,Gina Moore,gina.moore@yahoo.com,rep,valid,3,,0.0,0.0,2.0,1.0,0.0,0.0,0,,0,0,6
D0055,C0207,U001,30426.38,Proposal Sent,closed,,,False,,"Stewart, Robinson And White",Jonathan Perry,jonathan.perry@hotmail.com,(215)333-5554x3987,valid,Allison Hill,allison.hillgmail.com,manager,malformed,1,,1.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2
D0056,C0332,U007,18633.73,Negotiation,open,2025-11-19,,False,,Wood-Harris,Mary Spence,mary.spence@gmail.com,(778)428-4106x727,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,3,,1.0,1.0,0.0,1.0,0.0,0.0,0,,0,0,6
D0057,C0071,U012,5166.0,Proposal Sent,open,,,False,,Hardin-Hughes,Meghan Williams,meghan.williams@hotmail.com,+1-451-751-8644x9251,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,2026-09-02,0.0,0.0,0.0,1.0,1.0,0.0,1,,0,0,5
D0058,C0188,U008,43703.22,Prospecting,open,,,False,,Colon Llc,Joy Meyer,joy.meyer@hotmail.com,262-457-5326x03323,valid,Gina Moore,gina.moore@yahoo.com,rep,valid,1,2026-02-21,0.0,1.0,0.0,0.0,0.0,0.0,3,2026-11-07,1,1,5
D0059,C0219,U011,23292.74,Qualified,won,,,False,,"Baker, Stephens And Thompson",Holly Valdez,,,missing,Monica Herrera,monica.herreragmail.com,rep,malformed,2,2026-05-14,0.0,0.0,0.0,0.0,2.0,0.0,0,,0,0,4
D0060,C0117,U002,66624.74,Proposal Sent,open,2025-11-07,,False,,Gonzalez And Sons,,roy.porter@hotmail.com,+1-254-277-7252x28728,valid,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,2,2025-08-11,0.0,1.0,0.0,0.0,0.0,1.0,1,,1,0,5
D0061,C0158,U007,31417.0,Prospecting,closed,,,False,,"Williams, Evans And Wilkins",Tristan Bond,tristan.bond@hotmail.com,001-883-717-1210x0323,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,1,,0.0,0.0,0.0,0.0,0.0,1.0,2,,2,0,4
D0062,C0060,U002,4867.54,Qualified,won,2026-02-26,,False,,Reynolds Ltd,Robin Hawkins,robin.hawkins@COMPANY.COM,001-688-651-6560,placeholder,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,0,,,,,,,,0,,0,0,0
D0063,C0200,U009,69977.0,Prospecting,won,2026-04-05,2026-06-09,False,65.0,Ellis-Lawrence,Tracey Smith,tracey.smith@hotmail.com,4863978292,valid,Gabrielle Davis,gabrielle.davis@yahoo.com,rep,valid,0,,,,,,,,0,,0,0,0
D0064,C0125,U002,11641.35,Closed Lost,open,2025-11-02,,False,,Cole-Peters,Alexander Gomez,alexander.gomez@gmail.com,+1-495-860-4661x839,valid,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,1,2026-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,2
D0065,C0188,U011,3320.32,Prospecting,won,2026-04-01,,False,,Colon Llc,Joy Meyer,joy.meyer@hotmail.com,262-457-5326x03323,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,2,2026-09-07,1.0,0.0,0.0,0.0,0.0,1.0,2,,1,1,6
D0066,C0427,U014,5065.14,Negotiation,open,,,False,,Johnson-Gonzalez,Gary Turner,gary.turner@hotmail.com,239-928-4044x566,valid,Michele Williams,michele.williams@gmail.com,rep,valid,2,,0.0,1.0,0.0,1.0,0.0,0.0,0,,0,0,4
D0067,C0366,U007,58548.0,Closed Lost,open,2026-04-11,,False,,White-Walter,Stacey Walker,stacey.walker@gmail.com,+1-893-817-3420,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,0,,,,,,,,0,,0,0,0
D0068,C0445,U003,26141.28,Prospecting,won,2026-05-11,,False,,"Brown, Hardin And Mcneil",Melissa Walker,melissa.walker@yahoo.com,452.570.1713x02321,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,3,2026-06-05,2.0,1.0,0.0,0.0,0.0,0.0,0,,0,0,6
D0069,C0069,U007,22303.84,Proposal Sent,closed,2025-11-10,,False,,Vargas-Bell,Joel Johnson,joel.johnson@yahoo.com,511-799-8679x8079,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,5,2026-08-06,2.0,1.0,0.0,1.0,1.0,0.0,1,2026-01-06,1,0,11
D0070,C0396,U012,66749.83,Closed Won,,,,False,,Francis Plc,Trevor Guzman,trevor.guzman@yahoo.com,715-694-0821,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,2,,1.0,1.0,0.0,0.0,0.0,0.0,0,,0,0,4
D0071,C0013,U006,76296.36,Proposal Sent,open,,,False,,Ibarra-Suarez,Christopher Bass,christopher.bass@hotmail.com,698-608-4124x1182,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,0,,,,,,,,0,,0,0,0
D0072,C0267,U006,9861.22,Proposal Sent,open,2026-01-30,,False,,"Bray, Garcia And Stewart",Kim Lopez,kim.lopez@hotmail.com,780.703.8457x620,valid,Connie Lawrence,connie.lawrence@gmail.com,rep,valid,0,,,,,,,,0,,0,0,0
D0073,C0110,U010,16204.38,Closed Won,lost,,,False,,"Irwin, Davenport And Avila",Julie Ball,julie.ball@yahoo.com,+1-363-237-5243,valid,Ryan Munoz,ryan.munoz@yahoo.com,rep,valid,6,2026-02-26,3.0,0.0,0.0,0.0,3.0,0.0,3,2026-05-08,1,1,15
D0074,C0356,U012,80688.77,Closed Won,open,,,False,,"Richard, Davis And Rogers",Robert Alvarez,robert.alvarez@gmail.com,(914)484-6853x664,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,1,,0.0,0.0,0.0,0.0,1.0,0.0,1,2026-04-06,1,0,3
D0075,C0247,U001,20924.0,Prospecting,open,2026-01-04,,False,,Robinson-Fisher,Kathleen Watson,kathleen.watson@hotmail.com,9514204618,valid,Allison Hill,allison.hillgmail.com,manager,malformed,3,2025-11-22,0.0,0.0,0.0,3.0,0.0,0.0,0,,0,0,6
D0076,C0310,U004,78218.2,Qualified,lost,2026-02-26,,False,,Delgado Inc,Mary Adams,mary.adams@hotmail.com,969-308-7766x18306,valid,Daniel Wagner,daniel.wagner@yahoo.com,admin,valid,1,2026-02-11,0.0,0.0,0.0,0.0,0.0,1.0,3,2026-04-26,2,1,5
D0077,C0392,U002,32694.83,Closed Lost,lost,2026-05-03,,False,,"Higgins, Hobbs And Meyer",Cindy Hunt,cindy.hunt@yahoo.com,752.600.8943x46810,valid,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,0,,,,,,,,0,,0,0,0
D0078,C0068,U003,55707.0,Closed Won,,,,False,,Thompson And Sons,Mary Thompson,mary.thompson@hotmail.com,,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,3,,0.0,2.0,0.0,1.0,0.0,0.0,1,2025-12-04,0,0,7
D0079,C0112,U011,,Qualified,lost,2026-01-21,2026-03-04,False,42.0,Gordon Llc,Thomas Johnston,thomas.johnston@hotmail.com,+1-453-842-8364x408,valid,Monica Herrera,monica.herreragmail.com,rep,malformed,3,2026-10-03,0.0,1.0,1.0,1.0,0.0,0.0,0,,0,0,6
D0080,C0198,U014,51799.45,Prospecting,open,2026-04-15,,False,,"Hart, Pena And Bryant",Roger Velasquez,roger.velasquez@yahoo.com,789-397-5711x30554,valid,Michele Williams,michele.williams@gmail.com,rep,valid,0,,,,,,,,3,2026-04-05,2,1,3
D0081,C0052,U008,21372.66,Qualified,lost,2026-01-23,2026-04-02,False,69.0,Chambers-Chambers,Samantha Bentley,samantha.bentley@COMPANY.COM,337-909-8593,placeholder,Gina Moore,gina.moore@yahoo.com,rep,valid,2,,0.0,2.0,0.0,0.0,0.0,0.0,1,2025-12-24,1,0,5
D0082,C0225,U001,59380.2,Proposal Sent,won,2026-01-16,,False,,"Moreno, Perez And Lang",Jane Chapman,jane.chapman@hotmail.com,001-591-262-4731x49864,valid,Allison Hill,allison.hillgmail.com,manager,malformed,2,,0.0,0.0,0.0,2.0,0.0,0.0,2,2026-02-25,1,1,6
D0083,C0221,U012,75360.09,Closed Won,open,,,False,,Clark-Martin,Alison Williams,alison.williams@hotmail.com,001-622-480-9202,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,1,,0.0,0.0,1.0,0.0,0.0,0.0,0,,0,0,2
D0084,C0418,U008,39182.5,Proposal Sent,open,,,False,,Hunter Plc,Jennifer Gonzalez,jennifer.gonzalez@gmail.com,+1-631-853-7795x9959,valid,Gina Moore,gina.moore@yahoo.com,rep,valid,3,2026-05-29,1.0,2.0,0.0,0.0,0.0,0.0,0,,0,0,6
D0085,C0131,U002,75642.0,Prospecting,lost,,,False,,Myers-Barton,Kathryn Cooper,kathryn.cooper@gmail.com,914.761.1254x5738,valid,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,2,2026-04-26,1.0,0.0,1.0,0.0,0.0,0.0,0,,0,0,4
D0086,C0171,U010,80194.0,Closed Lost,open,2026-03-29,,False,,Davis And Sons,Edgar Miller,edgar.millergmail.com,446-777-4186,malformed,Ryan Munoz,ryan.munoz@yahoo.com,rep,valid,1,2026-04-21,0.0,0.0,1.0,0.0,0.0,0.0,2,2026-03-28,1,0,4
D0087,C0167,U004,61790.18,Proposal Sent,lost,,,False,,"Miller, Reed And Flores",Tracey Underwood,tracey.underwood@hotmail.com,+1-857-904-3315x4100,valid,Daniel Wagner,daniel.wagner@yahoo.com,admin,valid,1,,0.0,0.0,0.0,1.0,0.0,0.0,1,2026-07-06,0,1,3
D0088,C0025,U007,14324.76,,,,,False,,Brown-Wall,Randy Shah,randy.shah@gmail.com,001-596-670-5466x88937,valid,Abigail Shaffer,abigail.shaffer@gmail.com,rep,valid,2,,0.0,1.0,1.0,0.0,0.0,0.0,2,2025-03-12,2,0,6
D0089,C0316,U010,3649.0,Closed Lost,won,2026-05-15,,False,,Thomas-Perry,Kristen Gonzales,kristen.gonzales@hotmail.com,2212962071,valid,Ryan Munoz,ryan.munoz@yahoo.com,rep,valid,3,,0.0,0.0,2.0,0.0,0.0,1.0,0,,0,0,6
D0090,C0155,U013,,Closed Won,,2025-01-11,,False,,Harris And Sons,Tyrone Kaufman,tyrone.kaufman@gmail.com,001-441-803-8657x191,valid,Lisa Hensley,lisa.hensley@yahoo.com,rep,valid,1,,1.0,0.0,0.0,0.0,0.0,0.0,3,2025-12-13,0,2,5
D0091,C0187,U003,,Closed Lost,open,,,False,,"Gonzalez, Watson And Smith",Roy Lee,roy.lee@hotmail.com,6334542168,valid,Angie Henderson,angie.hendersongmail.com,manager,malformed,0,,,,,,,,2,,1,1,2
D0092,C0381,U012,57289.79,Prospecting,open,,,False,,Horton And Sons,Christine Wong,christine.wong@hotmail.com,868.231.4727,valid,Jamie Arnold,jamie.arnold@hotmail.com,rep,valid,1,2026-07-13,0.0,0.0,0.0,0.0,0.0,1.0,1,2025-02-11,1,0,3
D0093,C0031,U014,82129.91,Closed Won,closed,,,False,,Rivas Inc,Jerry Christensen,jerry.christensen@hotmail.com,+1-665-607-5273x545,valid,Michele Williams,michele.williams@gmail.com,rep,valid,2,,0.0,0.0,0.0,0.0,0.0,2.0,0,,0,0,4
D0094,C0151,U002,49196.86,Closed Won,open,,,False,,Rogers Group,Austin Joseph,austin.joseph@hotmail.com,+1-317-378-5079x2524,valid,Noah Rhodes,noah.rhodes@gmail.com,manager,valid,4,2026-08-07,3.0,0.0,1.0,0.0,0.0,0.0,1,,1,0,9
